Geneid	SRR085471	SRR085473	SRR085474	SRR087416	SRR085725	SRR085726
LINC01672	0	0	0	0	0	1
LOC124904847	0	0	0	0	0	0
CAMTA1-DT	2	4	4	1	1	0
CAMTA1	1352	345	1738	1003	1895	826
LOC124903832	48	94	46	126	32	45
CAMTA1-AS3	0	0	1	0	0	0
CAMTA1-IT1	2	4	3	3	4	2
CAMTA1-AS2	0	2	1	0	0	0
CAMTA1-AS1	1	0	0	1	0	0
LOC105376691	0	1	0	0	2	0
LOC105376689	45	21	45	38	118	27
VAMP3	820	262	785	479	568	574
PER3	550	80	663	240	946	300
LOC124903833	16	2	9	13	19	13
UTS2	0	0	1	0	0	0
TNFRSF9	2	0	0	0	1	1
PARK7	1609	604	1521	1271	1277	1632
LOC124903834	4	7	2	32	18	19
ERRFI1	328	82	345	262	383	300
ERRFI1-DT	1	11	11	5	9	2
LOC107984915	0	0	0	0	0	0
LINC01714	0	0	0	0	0	0
LOC105376695	0	0	0	0	0	0
LOC124903835	0	0	0	0	0	0
SLC45A1	398	75	413	178	306	213
RERE	1706	674	2111	1788	2476	1885
RERE-AS1	5	1	1	2	2	6
SNORD128	0	0	0	0	0	0
LOC124900452	0	19	1	6	0	5
ENO1	7156	3071	6823	4198	4648	5538
MIR6728	0	0	0	0	0	0
ENO1-AS1	1	2	1	0	2	1
LOC112268261	0	0	0	0	1	0
CA6	0	0	0	0	1	0
SLC2A7	0	0	0	0	0	0
SLC2A5	181	31	145	166	149	152
LOC124900441	0	0	0	0	0	0
GPR157	12	9	8	9	9	9
MIR34AHG	19	22	17	42	22	34
MIR34A	0	0	0	0	0	0
LNCTAM34A	1	3	1	5	2	3
H6PD	298	99	337	199	333	198
LOC124903836	0	1	2	2	2	2
SPSB1	114	78	138	125	128	196
LINC02606	25	7	34	2	16	2
SLC25A33	133	26	94	46	62	45
TMEM201	321	182	341	166	277	220
LOC124903837	1	0	2	1	3	2
PIK3CD	203	93	214	178	163	219
LOC105376712	0	0	0	0	0	0
PIK3CD-AS1	3	0	1	2	0	1
PIK3CD-AS2	1	1	3	2	0	1
LOC124903839	0	1	0	0	0	0
CLSTN1	13173	2172	15172	6841	11235	8024
CTNNBIP1	603	205	578	329	582	375
LOC105376717	2	2	0	1	0	0
LOC124903838	0	3	3	5	7	3
LZIC	405	123	312	304	314	279
NMNAT1	120	24	94	68	53	73
TMEM274P	3	0	3	3	1	0
MIR5697	0	0	0	0	0	0
LOC124903840	0	0	0	0	0	0
RBP7	56	36	55	39	37	40
UBE4B	797	204	945	722	903	756
KIF1B	5195	1304	6119	3136	5921	4051
PGD	675	210	753	609	592	699
CENPS-CORT	0	0	0	0	1	1
CENPS	7	3	8	10	6	7
CORT	67	3	51	25	24	32
DFFA	494	111	498	339	439	333
PEX14	441	164	545	334	331	491
CASZ1	12	11	24	23	21	33
LOC105376733	0	0	0	0	0	0
LOC105376735	0	0	0	0	0	0
C1orf127	0	0	3	1	22	0
TARDBP	799	287	824	733	981	931
MASP2	46	3	62	21	114	17
SRM	697	279	663	474	452	673
EXOSC10	495	171	481	431	482	461
EXOSC10-AS1	7	1	5	8	0	0
MTOR	1001	144	1119	458	1057	508
MTOR-AS1	0	0	0	0	1	0
LOC124904848	0	0	0	0	0	0
ANGPTL7	3	1	3	29	28	21
UBIAD1	197	47	228	114	167	133
LOC105376737	0	0	0	0	0	1
LOC105376739	0	0	0	0	1	0
LOC105376740	2	0	0	2	3	1
LOC124903841	1	3	1	0	2	0
DISP3	166	47	138	68	101	92
LOC124903842	6	6	1	4	1	3
LINC01647	0	0	0	0	0	0
FBXO2	2154	3373	1865	1936	1453	2955
FBXO44	1977	1070	2022	1986	1723	2413
FBXO6	85	30	74	85	62	102
MAD2L2	235	156	179	205	159	235
DRAXIN	71	7	46	10	51	21
AGTRAP	115	101	88	87	68	117
C1orf167	1	1	1	0	0	0
C1orf167-AS1	0	0	0	0	0	0
MTHFR	281	76	265	212	295	200
CLCN6	1055	284	1193	726	873	951
NPPA-AS1	0	0	2	3	8	1
NPPA	44	5	21	7	13	9
NPPB	0	1	1	1	2	1
RNU5E-1	0	0	0	0	1	0
LOC124903843	3	1	1	2	0	2
KIAA2013	226	114	260	180	185	251
PLOD1	490	276	476	829	479	990
MFN2	2426	868	2542	1205	1982	1548
MIIP	172	167	156	186	186	255
MIR6729	0	1	0	1	0	0
TNFRSF8	0	1	1	0	4	0
MIR7846	0	0	0	0	0	0
TNFRSF1B	109	108	88	119	154	125
LOC124903844	1	2	0	2	1	0
MIR4632	0	0	0	0	0	0
VPS13D	1276	303	1538	855	1404	1021
LOC124903845	2	0	1	1	1	0
SNORA59A	0	0	0	0	1	0
LINC02766	1	1	1	2	0	2
DHRS3	257	239	250	330	208	395
MIR6730	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0
LOC124903846	0	0	0	0	0	0
AADACL3	0	0	0	0	0	0
LOC124904811	0	0	0	0	0	0
CFAP107	1	0	0	3	1	0
PRAMEF12	0	0	0	0	0	0
PRAMEF1	0	0	0	0	0	0
LINC01784	0	0	0	0	0	0
PRAMEF11	0	0	0	0	0	0
HNRNPCL1	0	0	0	0	0	0
PRAMEF2	0	0	0	0	0	0
PRAMEF4	0	0	0	0	0	0
PRAMEF10	0	0	0	0	0	0
PRAMEF7	0	0	0	0	0	0
PRAMEF6	0	0	0	0	0	0
PRAMEF27	0	0	0	0	0	0
HNRNPCL3	0	0	0	0	0	0
PRAMEF25	0	0	0	0	0	0
PRAMEF34P	0	0	0	0	0	0
HNRNPCL2	0	0	0	0	0	0
PRAMEF36P	0	0	0	0	0	0
PRAMEF26	0	0	0	0	0	0
HNRNPCL4	0	0	0	0	0	0
PRAMEF9	0	0	0	0	0	0
PRAMEF13	0	0	0	0	0	0
PRAMEF18	0	0	0	0	0	0
PRAMEF5	0	0	0	0	0	0
PRAMEF8	0	0	0	0	0	0
