Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SLC1A3,3388.175375754104,-1.4033013873541373,0.2478626952003955,-5.661607876165377,1.4996118699273888e-08,2.437815645637301e-06
ZFYVE16,352.97661448703667,-1.3136018875717543,0.23219903833133373,-5.657223634567019,1.538412541437477e-08,2.4768441917143377e-06
TCP11L1,155.89566271614885,-1.7188811722663226,0.3045292963651141,-5.6443869039301795,1.6577090784241487e-08,2.643493410393709e-06
NTRK2,3977.3003015240374,-1.4355049978633552,0.25453098857268935,-5.63980443368844,1.7024340864033196e-08,2.6892034285601113e-06
NOS3,126.35827249215635,1.616580872859892,0.28738294597425174,5.625180253405609,1.8531436416528838e-08,2.899910012694943e-06
S100A6,491.63919034589327,2.3115882946904516,0.41177639514042974,5.6136979243361464,1.98047830682111e-08,3.0704748860567286e-06
LOC124904006,45.445120312985864,2.2102459454772085,0.39467494797222563,5.600167826291194,2.1414438140003137e-08,3.2834911441267683e-06
NUPR1,544.1524780678982,2.9908322414945894,0.5341816041871935,5.598905349886423,2.1570952332414268e-08,3.2834911441267683e-06
KIF1C,5679.053302006978,2.6633616486400498,0.47635288534841036,5.591152547951996,2.2556729394706403e-08,3.4026115043690455e-06
PLAAT4,150.21042237136604,1.6050046144468788,0.28714311424932426,5.5895633041482755,2.2764136821716137e-08,3.4032384548465622e-06
THBS1,73.23062938830456,-2.0075443543590143,0.35998453817992376,-5.576751614136339,2.4505137364906926e-08,3.6310975224601913e-06
ZMYND8,1123.2847794304641,1.216965315936017,0.21828753798865644,5.575056309441074,2.4744981212865774e-08,3.6344733809493377e-06
KCNIP4,70.23187683871372,-2.274057579765125,0.4081594292254069,-5.571493433535923,2.5256488609008657e-08,3.6773447414716605e-06
MT2A,1347.9635921747724,2.571949910368491,0.4636071282479113,5.547692763242319,2.894639490317343e-08,4.178262381540826e-06
NFKBIA,504.6771597689968,1.152422576223656,0.20840160007999087,5.529816353527618,3.205662048114647e-08,4.548780113019631e-06
NPAS4,23.731205785783114,-3.90881970095815,0.7068254997981992,-5.530105665506026,3.200379516538327e-08,4.548780113019631e-06
CLDN15,96.7189685089794,1.8839033040199065,0.341105030957824,5.5229420062492185,3.333697966255129e-08,4.690709138401335e-06
LINC00930,16.20482858530657,3.909446314436565,0.7088349793909388,5.515312347869356,3.481610560445886e-08,4.858007268675493e-06
LOC124909483,23.563626668817637,3.314238906466936,0.6019142860278349,5.506164222049504,3.6673644463182325e-08,5.0749049825745865e-06
RBM3,289.8460212896027,-1.5549939158445567,0.2825276495909075,-5.5038645530663866,3.715550485586898e-08,5.099440764808772e-06
ATP10B,105.76042315364968,-1.6405408463866713,0.2982877066220757,-5.499860738361578,3.8009132710854457e-08,5.174186326102008e-06
AUP1,777.3786907681756,1.248119246151738,0.22765964421432477,5.482391270789853,4.1961489753723786e-08,5.66615471319638e-06
LANCL1,1408.029789507608,-1.5472096990760897,0.28262771631535233,-5.474373565505986,4.390619848016674e-08,5.881323098815295e-06
CAMK4,688.1280769873362,-2.3093324544532954,0.4220795859447393,-5.471319939068658,4.466960434749491e-08,5.936094088844879e-06
MRPS6,277.97825828433776,1.2821822742406714,0.23472531694027113,5.462479680310493,4.6952929200471117e-08,6.190392492383373e-06
LOC124906270,135.12120329846587,2.758573033820324,0.5052007238297828,5.460350517529682,4.751954491956351e-08,6.216150469790402e-06
TCAP,69.27281641210124,2.0625403970343363,0.3781805050721652,5.453851717292402,4.929030898506423e-08,6.397805687177639e-06
LIX1,97.50503235232519,-1.7895833827402272,0.3284428130979063,-5.4486909482375125,5.074189550624131e-08,6.485666399667974e-06
LOC105371017,30.930271738138547,2.8262950671607507,0.5186017533096667,5.449837084282122,5.041598161171876e-08,6.485666399667974e-06
ADGRL3,455.42064843519825,-1.1363893277942905,0.2090036154309998,-5.43717545484019,5.4131827381815155e-08,6.866540285462977e-06
TPD52L1,431.4099697510332,1.5255296648064354,0.2808978395947236,5.430905652416029,5.6068773189712584e-08,7.058763445778552e-06
GPCPD1,285.5802150617139,-1.3309445928718668,0.24577875712062008,-5.4152141074530835,6.121540996461917e-08,7.649185257071518e-06
SGK2,59.15386513203857,-2.0648870427552,0.38202328667067587,-5.405133966441269,6.475997192109274e-08,8.032155332198346e-06
SLC30A9,482.9290220013979,-1.1171773170850006,0.20687894897385842,-5.4001498104389976,6.658526903627931e-08,8.087735524596521e-06
IL4R,184.2246658273298,1.9098616380051407,0.35368094836486,5.39995622279013,6.66571609170043e-08,8.087735524596521e-06
LOC124905255,15.165988429481573,4.5373422176259455,0.8400839237963351,5.401058262276606,6.624890296375168e-08,8.087735524596521e-06
HS6ST2,72.07613303617998,-2.20048488474246,0.4080271645002354,-5.392986242564717,6.929626008263923e-08,8.347457401609434e-06
MCPH1,19.470117967208367,5.607292072356657,1.0404398953327425,5.389347426516542,7.07139846047239e-08,8.457392558724978e-06
MT1L,54.94106306739335,2.74758023452913,0.5112182921226343,5.374573400182682,7.676420827945876e-08,9.112574317153142e-06
NFKB2,115.84216030384498,2.0612904582805167,0.3836125690820457,5.373365276359481,7.728055142353954e-08,9.112574317153142e-06
CFAP90,77.63419283720366,1.5569191190281972,0.28993474070573244,5.369895015818002,7.878249148090333e-08,9.224713547945772e-06
LOC124902372,82.72790670915215,2.399048110768755,0.44791945300696795,5.355981069059386,8.509341868495048e-08,9.894473628200075e-06
THSD7A,79.88637101249871,-1.7291817404998857,0.3248139918903446,-5.3236060750844985,1.0173008492880589e-07,1.1747369255502935e-05
LOC124900987,20.009612148802525,3.2372560552679945,0.6092148652597458,5.3138165856930515,1.0735267463503462e-07,1.2311734137596024e-05
SDF2L1,136.6039923005564,1.4052676042842647,0.2645794346799005,5.311325900988552,1.0883050831928168e-07,1.2396313138081989e-05
MT1E,482.2168415434988,1.8544389199002962,0.34974775698612276,5.302218192564067,1.1440398722434548e-07,1.29431105546246e-05
GCNA,51.654949249703556,2.2701121660687416,0.42851614751823236,5.297611721789676,1.1732711992661972e-07,1.3184733530545776e-05
LOC107986249,52.640745179802245,2.9381080119126466,0.5551046351689227,5.2928904314022835,1.2039806232984064e-07,1.3439634371005678e-05
CHRDL1,212.74708096786586,-1.9470126476467557,0.3682098849731681,-5.287779408172697,1.2381015716066924e-07,1.3723329461498624e-05
LOC105370103,24.17332739721175,2.7822238984187955,0.526273818716866,5.2866469876884095,1.2457871943070895e-07,1.3723329461498624e-05
BAZ1A,90.53957716613768,1.6234395434495255,0.30726826129104556,5.283459920749178,1.2676660730078658e-07,1.381645256233591e-05
MGC4859,118.26909781096369,-2.2688125366798917,0.42945404738052256,-5.283015844229743,1.270743964763336e-07,1.381645256233591e-05
ERBB4,303.46754887677577,-1.3011905566732656,0.24658184377458112,-5.276911457693458,1.3137932474878635e-07,1.4192357507055991e-05
WDR17,140.2242535091265,-2.135130209731169,0.4048493326573522,-5.273888425890664,1.3356312672742744e-07,1.4335775602077212e-05
TEX29,52.94081613287287,2.0081269633407226,0.3808976165395428,5.272091176585898,1.3487803830625038e-07,1.4361399981689719e-05
TRIM47,379.9665731107541,1.7568802137548125,0.33329647083605796,5.271223572658193,1.3551727168579643e-07,1.4361399981689719e-05
PRELP,592.0432027090534,1.957673436672647,0.3719950025953481,5.262633699416068,1.420063257418156e-07,1.4954427158622392e-05
NOP2,244.63722383661434,1.2642249358765838,0.24030583273678074,5.2608999185689935,1.4335204960463244e-07,1.5001791991124786e-05
