"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0045926","negative regulation of growth","38/1473","233/18805",0.163090128755365,2.08208409453132,4.84520091917474,1.22161323356557e-05,0.00300198173744026,0.00264729458166269,"ACVRL1/BMPR2/BST2/CCDC85B/CDA/CDKN2A/CITED2/CRYAB/DNAJB2/DRAXIN/FSTL4/GDF15/HIF1A/HYAL1/HYAL2/MEG3/MINAR1/MSX1/MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/NDRG3/OSGIN1/PLAC8/PNPT1/SEMA3F/SEMA3G/SEMA5A/SERPINE2/SERTAD3/SIPA1/SLIT3/TNR",38
"GO:0097501","stress response to metal ion","9/1473","21/18805",0.428571428571429,5.47134128600524,5.97661914680238,1.33858417683923e-05,0.00315236573645639,0.0027799105602341,"MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/SLC11A1",9
"GO:0071276","cellular response to cadmium ion","10/1473","26/18805",0.384615384615385,4.91017807718419,5.81633127161298,1.39556795141088e-05,0.00315510002454971,0.00278232178944442,"HMOX1/MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/SLC11A1",10
"GO:0035641","locomotory exploration behavior","8/1473","17/18805",0.470588235294118,6.00774729443712,6.02183351457979,1.77842162596224e-05,0.00386601501151484,0.00340924145705717,"ATP1A2/CRH/GAD1/PENK/PRKCE/SLC4A10/TNR/TUBA1A",8
"GO:0002274","myeloid leukocyte activation","39/1473","251/18805",0.155378486055777,1.98363369333258,4.57355215241234,2.95061558150769e-05,0.00617662195062276,0.00544684786683778,"ADAM9/C1QA/CAMK4/CSF1/CX3CR1/DNASE1/FCGR3A/FGR/FN1/GAB2/HAMP/HYAL2/IFI35/IL33/IL4R/JMJD6/KIT/LAT/LGALS9/LTBR/MT1G/NMI/NOTCH2/NR4A3/PDPK1/PJA2/PRAM1/PRKCE/RASGRP1/RORA/SLC11A1/SPI1/SYT11/THBS1/TLR9/TNIP2/TRPV1/VAMP8/VSIG4",39
"GO:0071248","cellular response to metal ion","31/1473","182/18805",0.17032967032967,2.17450743418157,4.6416116008321,3.19300208775972e-05,0.00628098483739509,0.00553888017377468,"ABCC9/ADCY1/AKR1C3/ATF4/GLRA2/HMOX1/HSD17B1/ITPKB/JUND/KCNA1/KCNH1/MEF2A/MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/NRXN1/PRKAA1/PRKAA2/PRKN/SCN5A/SLC11A1/SLC25A39/SMPD3/TLR9/TSPO/TUBA1A",31
"GO:0061687","detoxification of inorganic compound","9/1473","23/18805",0.391304347826087,4.99557247852652,5.58951553399389,3.22272753511071e-05,0.00628098483739509,0.00553888017377468,"MT1A/MT1E/MT1G/MT1H/MT1M/MT1X/MT2A/MT3/SLC11A1",9
"GO:0010232","vascular transport","19/1473","88/18805",0.215909090909091,2.75639542060112,4.81446092790415,4.11432291070998e-05,0.00742913309713356,0.00655137356407186,"ABCC4/ABCC9/ATP1A2/ATP1B2/LEPR/LRP1/SLC16A2/SLC16A7/SLC1A2/SLC1A3/SLC24A3/SLC2A10/SLC2A13/SLC38A1/SLC4A4/SLC5A5/SLC6A1/SLCO1C1/TFRC",19
"GO:0150104","transport across blood-brain barrier","19/1473","88/18805",0.215909090909091,2.75639542060112,4.81446092790415,4.11432291070998e-05,0.00742913309713356,0.00655137356407186,"ABCC4/ABCC9/ATP1A2/ATP1B2/LEPR/LRP1/SLC16A2/SLC16A7/SLC1A2/SLC1A3/SLC24A3/SLC2A10/SLC2A13/SLC38A1/SLC4A4/SLC5A5/SLC6A1/SLCO1C1/TFRC",19
"GO:0051480","regulation of cytosolic calcium ion concentration","15/1473","60/18805",0.25,3.19161575016972,4.9567780187384,4.36746141437366e-05,0.00742913309713356,0.00655137356407186,"ATP2B2/ATP2B3/BOK/CACNB4/CALB1/CAV1/FZD9/GPER1/GPR3/GRM5/ITPR1/P2RY1/SLC35G1/SV2B/TRPC3",15
